Kode Properti,Kecamatan, Price , Price_Sudah ,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Tamu,Jumlah Lantai,Terjangkau Internet,Kondisi Properti
P221,sukolilo,800000000 ,800 ,3,2,60,75,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P222,sukolilo,800000000 ,800 ,3,2,60,54,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P223,lakarsantri,800000000 ,800 ,3,2,62,72,HGB - Hak Guna Bangunan,2200,0,2,0,2
P224,tambaksari,800000000 ,800 ,3,2,64,64,SHM - Sertifikat Hak Milik,900,0,3,0,2
P225,benowo,800000000 ,800 ,2,2,65,68,HGB - Hak Guna Bangunan,2200,0,2,0,4
P226,kenjeran,800000000 ,800 ,3,3,66,132,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P227,wiyung,800000000 ,800 ,5,2,66,132,HGB - Hak Guna Bangunan,900,1,2,1,2
P228,benowo,800000000 ,800 ,2,2,72,68,HGB - Hak Guna Bangunan,2200,0,2,0,4
P229,dukuh pakis,800000000 ,800 ,3,2,72,74,SHM - Sertifikat Hak Milik,1300,0,1,1,2
P230,sambikerep,800000000 ,800 ,2,2,72,86,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P231,tambaksari,800000000 ,800 ,2,1,72,65,SHM - Sertifikat Hak Milik,1300,1,1,1,1
P232,sukolilo,800000000 ,800 ,2,2,75,50,HGB - Hak Guna Bangunan,2200,0,2,1,4
P233,sambikerep,800000000 ,800 ,3,2,78,120,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P234,rungkut,800000000 ,800 ,2,1,84,64,HGB - Hak Guna Bangunan,1300,1,1,1,2
P235,tambaksari,800000000 ,800 ,3,2,84,84,"Lainnya (PPJB,Girik,Adat,dll)",1300,0,2,1,4
P236,pakal,800000000 ,800 ,2,1,88,87,HGB - Hak Guna Bangunan,2200,1,1,1,2
P237,benowo,800000000 ,800 ,2,1,90,87,HGB - Hak Guna Bangunan,2200,0,2,0,3
P238,kenjeran,800000000 ,800 ,3,2,90,145,SHM - Sertifikat Hak Milik,2200,1,2,0,4
P239,pakal,800000000 ,800 ,4,2,90,160,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P240,rungkut,800000000 ,800 ,2,1,90,85,SHM - Sertifikat Hak Milik,900,0,1,0,2
P241,rungkut,800000000 ,800 ,2,1,90,85,SHM - Sertifikat Hak Milik,900,0,1,0,2
P242,rungkut,800000000 ,800 ,2,1,91,91,HGB - Hak Guna Bangunan,5500,0,1,0,2
P243,sukolilo,800000000 ,800 ,2,1,96,80,SHM - Sertifikat Hak Milik,1300,1,1,0,2
P244,rungkut,800000000 ,800 ,3,1,100,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
